min_confidence,regime__efficiency_trend_threshold,total_trades,long_trades,short_trades,win_rate,avg_win,avg_loss,profit_factor,total_pnl,total_roi,max_drawdown_pct,sharpe_ratio,initial_balance,final_balance,regime_metrics
0.25,0.12,31,31,0,0.0967741935483871,0.1636521456173217,-0.35395684102471686,0.04953756059138956,-9.419835111840106,-8.191160966817483,8.468558974176798,-15.137778182773546,115.0,105.5801648881599,"{'range': {'trades': 31, 'win_rate': 0.0967741935483871, 'profit_factor': 0.04953756059138956, 'total_pnl': -9.419835111840106, 'avg_hold_bars': 3.4516129032258065}}"
0.25,0.18,31,31,0,0.0967741935483871,0.1636521456173217,-0.35395684102471686,0.04953756059138956,-9.419835111840106,-8.191160966817483,8.468558974176798,-15.137778182773546,115.0,105.5801648881599,"{'range': {'trades': 31, 'win_rate': 0.0967741935483871, 'profit_factor': 0.04953756059138956, 'total_pnl': -9.419835111840106, 'avg_hold_bars': 3.4516129032258065}}"
0.25,0.25,31,31,0,0.0967741935483871,0.1636521456173217,-0.35395684102471686,0.04953756059138956,-9.419835111840106,-8.191160966817483,8.468558974176798,-15.137778182773546,115.0,105.5801648881599,"{'range': {'trades': 31, 'win_rate': 0.0967741935483871, 'profit_factor': 0.04953756059138956, 'total_pnl': -9.419835111840106, 'avg_hold_bars': 3.4516129032258065}}"
0.35,0.12,31,31,0,0.0967741935483871,0.1636521456173217,-0.35395684102471686,0.04953756059138956,-9.419835111840106,-8.191160966817483,8.468558974176798,-15.137778182773546,115.0,105.5801648881599,"{'range': {'trades': 31, 'win_rate': 0.0967741935483871, 'profit_factor': 0.04953756059138956, 'total_pnl': -9.419835111840106, 'avg_hold_bars': 3.4516129032258065}}"
0.35,0.18,31,31,0,0.0967741935483871,0.1636521456173217,-0.35395684102471686,0.04953756059138956,-9.419835111840106,-8.191160966817483,8.468558974176798,-15.137778182773546,115.0,105.5801648881599,"{'range': {'trades': 31, 'win_rate': 0.0967741935483871, 'profit_factor': 0.04953756059138956, 'total_pnl': -9.419835111840106, 'avg_hold_bars': 3.4516129032258065}}"
0.35,0.25,31,31,0,0.0967741935483871,0.1636521456173217,-0.35395684102471686,0.04953756059138956,-9.419835111840106,-8.191160966817483,8.468558974176798,-15.137778182773546,115.0,105.5801648881599,"{'range': {'trades': 31, 'win_rate': 0.0967741935483871, 'profit_factor': 0.04953756059138956, 'total_pnl': -9.419835111840106, 'avg_hold_bars': 3.4516129032258065}}"
0.45,0.12,31,31,0,0.0967741935483871,0.1636521456173217,-0.35395684102471686,0.04953756059138956,-9.419835111840106,-8.191160966817483,8.468558974176798,-15.137778182773546,115.0,105.5801648881599,"{'range': {'trades': 31, 'win_rate': 0.0967741935483871, 'profit_factor': 0.04953756059138956, 'total_pnl': -9.419835111840106, 'avg_hold_bars': 3.4516129032258065}}"
0.45,0.18,31,31,0,0.0967741935483871,0.1636521456173217,-0.35395684102471686,0.04953756059138956,-9.419835111840106,-8.191160966817483,8.468558974176798,-15.137778182773546,115.0,105.5801648881599,"{'range': {'trades': 31, 'win_rate': 0.0967741935483871, 'profit_factor': 0.04953756059138956, 'total_pnl': -9.419835111840106, 'avg_hold_bars': 3.4516129032258065}}"
0.45,0.25,31,31,0,0.0967741935483871,0.1636521456173217,-0.35395684102471686,0.04953756059138956,-9.419835111840106,-8.191160966817483,8.468558974176798,-15.137778182773546,115.0,105.5801648881599,"{'range': {'trades': 31, 'win_rate': 0.0967741935483871, 'profit_factor': 0.04953756059138956, 'total_pnl': -9.419835111840106, 'avg_hold_bars': 3.4516129032258065}}"
